Episode,Steps,Return
606,40,29.585
607,40,33.354
608,40,32.851
609,38,31.276
610,40,31.12
611,40,30.82
612,40,33.318
613,7,5.712
614,40,30.72
615,40,33.55
616,40,29.486
617,30,24.497
618,6,4.746
619,40,31.753
620,20,17.614
621,40,34.811
622,40,31.151
623,38,28.013
624,40,31.085
625,37,29.73
626,23,17.763
627,40,29.685
628,40,31.584
629,40,30.048
630,4,2.918
631,40,30.613
632,40,33.416
633,38,29.734
634,40,32.147
635,40,34.516
636,40,34.675
637,34,27.283
638,40,31.62
639,31,25.118
640,13,10.879
641,24,20.032
642,7,5.579
643,21,15.949
644,17,13.095
645,40,30.965
646,40,31.853
647,33,27.527
648,40,29.752
649,40,33.045
650,14,12.445
651,19,16.365
652,40,32.879
653,40,29.985
654,40,34.282
655,9,7.146
656,40,32.285
657,40,31.419
658,18,13.552
659,10,8.229
660,40,28.886
661,40,32.652
662,40,30.886
663,40,34.295
664,40,32.252
665,40,31.318
666,40,30.386
667,40,30.987
668,40,28.52
669,40,34.399
670,40,31.818
671,11,7.786
672,40,33.512
673,40,33.813
674,40,30.883
675,40,30.386
676,40,33.584
677,40,30.686
678,17,14.978
679,40,31.485
680,40,31.385
681,40,29.32
682,40,31.386
683,40,31.919
684,40,30.086
685,40,30.582
686,40,29.751
687,40,33.685
688,40,29.853
689,38,28.936
690,40,28.586
691,40,31.753
692,40,29.054
693,40,31.551
694,40,31.551
695,40,32.286
696,40,31.018
697,36,27.532
698,37,29.353
699,23,19.813
700,40,33.743
701,40,31.251
702,40,31.652
703,40,31.752
704,40,33.616
705,40,32.718
706,3,1.699
707,40,33.918
708,40,29.918
709,40,32.252
710,13,10.363
711,40,29.82
712,40,31.117
713,40,29.534
714,40,29.586
715,40,32.252
716,40,32.352
717,40,32.783
718,6,4.797
719,20,16.616
720,40,31.685
721,40,29.786
722,40,32.431
723,16,14.444
724,40,30.452
725,40,31.054
726,27,20.684
727,10,7.864
728,40,30.319
729,40,31.652
730,40,26.754
731,40,33.748
732,40,31.419
733,11,8.914
734,40,30.353
735,40,30.729
736,40,30.02
737,30,22.48
738,13,9.632
739,40,31.616
740,40,30.985
741,40,32.646
742,40,30.15
743,40,29.886
744,40,33.65
745,40,30.351
746,40,31.019
747,40,29.82
748,40,32.352
749,40,29.485
750,40,32.319
751,39,29.318
752,7,5.646
753,40,29.519
754,40,33.219
755,40,34.295
756,40,32.248
757,40,30.799
758,36,28.032
759,40,28.82
760,40,29.285
761,33,29.549
762,40,30.62
763,40,30.786
764,40,31.878
765,27,21.13
766,40,30.702
767,40,30.287
768,27,21.631
769,40,31.12
770,7,5.498
771,40,31.352
772,40,32.386
773,40,30.952
774,40,33.618
775,40,31.815
776,32,23.919
777,40,29.719
778,40,32.52
779,40,33.466
780,40,33.882
781,40,29.62
782,40,31.653
783,40,30.786
784,40,32.95
785,40,30.986
786,40,29.353
787,31,26.71
788,12,10.378
